Account_Number,Total_Spend,Avg_Spend,Transaction_Count,Age,Income,Total_Loyalty,Cluster,PCA1,PCA2
AAGF56964741331151,4132.8,4132.8,1,32,117819.25,484,1,1.6444311523934179,0.5851206802257409
AAHF65030524114207,2836.6,2836.6,1,58,109834.12,486,2,0.3660327907941679,1.8293365473073058
AAJK21289915114551,1503.49,1503.49,1,49,87552.61,260,0,-0.9894245750482752,0.3042003775898973
AANF38183924516791,875.14,875.14,1,34,131361.8,79,3,-1.6344700283746787,-1.1394943319051927
AASV46584639248878,3773.31,3773.31,1,21,52507.8,231,1,1.2449041517599329,-1.285562655725466
ABCY11566311084855,214.76,214.76,1,70,53126.82,321,0,-2.257223079136759,1.5223034717777615
ABDC13915480442364,226.46,226.46,1,52,94823.59,423,0,-2.2324113716186345,1.2523697478093867
ABHX04716623425301,3311.54,3311.54,1,60,89169.46,395,2,0.8231284049349527,1.4365778584945643
ABMR40964293855507,2417.25,2417.25,1,25,136184.05,446,3,-0.060517184859017005,0.14768312214984786
ABMW63295689865748,2497.5,2497.5,1,62,127965.85,276,2,0.006014289791492115,1.0819047533162574
ABOX78981968706668,535.79,535.79,1,52,53041.28,137,0,-1.9676323559855387,-0.2032425945310644
ABQE63746462250747,2804.97,2804.97,1,44,62694.79,27,1,0.26616970081931696,-1.1128008554360795
ABXS76325273976748,536.79,536.79,1,64,137948.83,309,0,-1.9313166545729308,1.3886477293176738
ABYA00015291137178,2768.35,2768.35,1,54,36092.64,255,0,0.25888986064160663,0.36859251148103167
ABYK35760367336142,2776.79,2776.79,1,22,103253.56,388,1,0.28369576811755254,-0.35600981721298763
ACAY03434499758586,2772.99,2772.99,1,19,132289.97,76,1,0.24222581546092017,-1.8936954188303496
ACGN51220163576913,284.33,284.33,1,41,109150.03,435,3,-2.1747795638747607,0.8217602175995635
ACSC54260782411643,4048.34,4048.34,1,30,145275.96,306,1,1.540404026614852,-0.2772001481829031
ACTT05024065117471,4695.05,4695.05,1,48,92072.85,76,2,2.1502831795252217,-0.6490367644481235
ACXU62762922666788,4899.81,4899.81,1,26,118435.4,149,1,2.359836007030693,-1.2868488876786546
ACZR48456480356761,4618.57,4618.57,1,54,27915.09,385,2,2.1085057642180756,0.9301129720038677
ADAH20823416099097,3074.35,3074.35,1,19,108152.23,310,1,0.568308844236262,-0.8579358068467171
ADDC67051210753535,4101.57,4101.57,1,42,30093.19,120,1,1.5589221645364257,-0.8726886473099055
ADEX88452969338947,3895.45,3895.45,1,30,79013.58,115,1,1.3564810493926,-1.3397467340260332
ADFD92446330297399,2514.11,2514.11,1,66,27347.72,427,0,0.031310301098451114,1.7296746567016472
ADIQ12971988408943,567.67,567.67,1,34,30176.26,300,3,-1.922473121382302,-0.34838962620067543
ADNK55786457865557,2077.64,2077.64,1,66,98626.56,192,0,-0.42331350308275295,0.8096225976411704
ADPU05694904578847,3997.86,3997.86,1,22,141331.41,122,1,1.4640118500306667,-1.5318375694280324
ADSV46116081074525,2857.21,2857.21,1,51,32698.82,286,1,0.34976448678746724,0.3621442617923667
ADUY36510344442990,2180.26,2180.26,1,31,25773.88,331,1,-0.3215223821497685,-0.38183868446145264
ADUZ17617061301127,3626.49,3626.49,1,51,111889.73,13,2,1.0861952561841135,-0.7362445828359341
AEFU72752152723114,4204.78,4204.78,1,41,85167.88,499,1,1.716309589723447,0.9998113454302268
AEII64285952529242,3992.12,3992.12,1,35,55918.81,380,1,1.4851554146440242,0.08510514743851799
AERC00032666178088,1384.62,1384.62,1,66,30549.52,205,0,-1.116438183085636,0.7111703404307591
AEST73854424029480,4819.33,4819.33,1,52,24884.32,200,2,2.2827052041575233,-0.04620004611234243
AEUP80620922751589,2962.85,2962.85,1,45,31288.84,197,1,0.44120330221471565,-0.34667309366608123
AEYJ36524055364818,3175.75,3175.75,1,48,20765.15,115,1,0.6411993407984266,-0.6199731031632474
AEYU68387890345029,3354.08,3354.08,1,65,127613.43,153,2,0.8398642400208329,0.6308442771973353
AFEZ34778045797251,3037.29,3037.29,1,56,39316.37,499,2,0.5578586943637893,1.6154849936528513
AGFO18875875098020,1574.35,1574.35,1,49,87487.18,251,0,-0.9203638309211941,0.26054656525073316
AGFV11920613638527,3105.2,3105.2,1,69,23915.27,14,2,0.5642231145656244,-0.089513097493963
AGGD37587807767758,2973.47,2973.47,1,70,140449.71,336,2,0.4891009360519455,1.7676157470852272
AGHA86414863290850,2037.5,2037.5,1,39,118621.59,85,3,-0.48180873976909677,-0.9245725881288905
AGOP31205886948530,4151.2,4151.2,1,58,35888.67,108,2,1.6115206023142647,-0.1560231448603421
AGOY01709264070308,205.96,205.96,1,29,57466.94,20,3,-2.3152804822971933,-1.829046569121751
AGSJ29045886792529,1143.35,1143.35,1,56,69186.42,362,0,-1.3334626924004702,1.0761375021429769
AGVE04347433442106,3846.98,3846.98,1,51,116516.46,224,2,1.332511625212661,0.2647312739264059
AGVE21775990254983,3279.15,3279.15,1,64,24885.88,26,2,0.7369521068186448,-0.2707141018830624
AGWP94400010568977,4245.26,4245.26,1,61,63444.02,454,2,1.7534393053029027,1.6821565492371149
AHAB81039111407559,1885.49,1885.49,1,45,80324.87,150,0,-0.6269356417646905,-0.4275441824439424
AHDH46443901533958,949.16,949.16,1,24,96948.45,76,3,-1.5681854318509805,-1.7157406106108204
AHEH91932528267126,736.49,736.49,1,60,83701.11,177,0,-1.7578329547262337,0.43836492715775693
AHGO44999870933913,4160.97,4160.97,1,42,66914.4,369,1,1.6542412244455558,0.39044555207172765
AHTD70263444359624,4580.78,4580.78,1,18,118089.47,463,1,2.082003793293593,-0.1846870739380249
AHTT49201330342289,1872.93,1872.93,1,51,51959.62,89,0,-0.6489628828105578,-0.5007679601043228
AHTW34271866925529,2552.21,2552.21,1,40,58711.42,241,1,0.04175269938331813,-0.3015526839952417
AIEP63628144471893,2445.45,2445.45,1,49,92661.75,340,0,-0.044906672335296674,0.6783471563820025
AIJO12083624874856,1802.79,1802.79,1,44,24290.63,97,0,-0.7225475971877247,-0.8636325540665015
AIMA70014413068624,4564.58,4564.58,1,43,22165.58,198,1,2.0272338334319433,-0.48549918039603407
AIUN05100199500987,1582.93,1582.93,1,69,83082.03,169,0,-0.9176084880572869,0.8127318996970143
AIWL34782772532095,231.29,231.29,1,50,23958.37,2,0,-2.290786560945592,-1.0015002687827916
AIXZ01939589818432,1252.23,1252.23,1,46,116311.13,480,0,-1.2074937685431513,1.2732471627100546
AIYM57173771578729,4868.54,4868.54,1,58,64523.53,153,2,2.331638362990912,0.11603929262424159
AJAO14697147973418,4059.79,4059.79,1,26,131751.68,114,1,1.5243121223223564,-1.4046581378702914
AJNS01749538916244,3191.53,3191.53,1,42,123263.16,130,2,0.6691243274189779,-0.577318932830061
AJOU00622501775917,4926.88,4926.88,1,65,48736.15,38,2,2.3746431324974147,-0.13342216634754833
AJTQ35632770361932,1360.2,1360.2,1,27,36158.62,282,3,-1.140483977011417,-0.763050722947445
AJUF54969192845525,1009.75,1009.75,1,64,111656.34,39,0,-1.500488675042525,0.04455230371302426
AJUR79370123357937,157.66,157.66,1,66,84683.46,297,0,-2.314305104473391,1.299587107829908
AJUT62732262611424,3479.14,3479.14,1,49,138841.66,420,2,0.9953164326040115,1.154038055449586
AJUZ99157380679967,4068.48,4068.48,1,25,29076.05,456,1,1.5648431073248097,-0.10043580690826476
AJVJ79405051594906,873.11,873.11,1,43,98620.64,258,3,-1.6147779851871507,0.04790154562050877
AJYP79001388597871,951.35,951.35,1,22,100444.84,241,3,-1.5448367397053913,-1.0254825969449806
AKGO82868722030710,1800.85,1800.85,1,51,131896.33,391,0,-0.6720835699312828,1.1220282480867954
AKHD60227433037271,2977.23,2977.23,1,36,84887.87,9,1,0.4350220761275915,-1.5243014622096975
AKHJ28164416101975,432.64,432.64,1,41,90457.04,22,3,-2.083296143150641,-1.1709808420953722
AKHK21622965221198,927.81,927.81,1,24,72683.95,118,3,-1.586752467465547,-1.5786188722373726
AKID52807864770169,1005.48,1005.48,1,44,60647.11,277,0,-1.4852917088562798,0.08739844204071906
AKIH37073671274706,2891.78,2891.78,1,41,121337.84,296,2,0.39297981540203497,0.15635693324277047
AKTW20823530976691,4726.24,4726.24,1,20,129178.53,351,1,2.2135381961747616,-0.5913274658189897
AKUB52438380582692,3863.54,3863.54,1,42,116418.08,135,2,1.3350117212103843,-0.5817521042120001
ALBW74511524718710,2366.76,2366.76,1,58,71708.49,76,0,-0.15702142928204046,-0.1881024653898615
ALHJ74923081079934,200.76,200.76,1,51,90718.15,133,0,-2.2960759906112713,-0.16964274377330157
ALJU67884880595474,2496.65,2496.65,1,43,135581.48,116,2,-0.01968600041066895,-0.5536795248884838
ALPG26630562597223,2776.92,2776.92,1,21,37678.04,161,1,0.24659732209761026,-1.6361599718389357
ALYH72565633734348,2484.29,2484.29,1,53,27858.05,33,0,-0.05254062544708774,-0.739637306808083
AMAS58062745669839,3970.53,3970.53,1,57,148626.58,412,2,1.484590773317105,1.5127411706599263
AMGH65586171106967,4677.88,4677.88,1,48,94130.52,196,2,2.1490007717300723,-0.07891064038070604
AMHE50313928048502,1189.84,1189.84,1,66,29763.63,402,0,-1.2841417420373997,1.639358611005943
AMKN81540985217729,1924.71,1924.71,1,45,50656.82,395,0,-0.5598884776196262,0.650316952764607
AMNK89782425658293,693.65,693.65,1,42,65586.83,452,0,-1.7717137860621834,0.8333773213687717
AMSY84433890254712,3134.27,3134.27,1,56,62388.8,49,2,0.5985615794731821,-0.4457845120859707
AMUF01663340142156,3033.27,3033.27,1,58,25339.24,305,2,0.5277292442364774,0.7625011163982157
AMWE63823919294787,3391.25,3391.25,1,21,33307.07,421,1,0.8885327112649509,-0.4334965889707094
AMXH78170483648116,3666.04,3666.04,1,26,54379.32,41,1,1.1156099184592791,-1.9359258843932938
ANAQ27610023512094,670.07,670.07,1,60,100987.86,31,0,-1.8404990836713326,-0.20424669177321364
ANCR12054647548954,1396.33,1396.33,1,58,59953.07,258,0,-1.0967006624459303,0.6544418380672147
ANDE68737014498771,1592.34,1592.34,1,60,62254.48,434,0,-0.8789020574939509,1.5802016133835717
ANJK33845247994197,654.72,654.72,1,27,75653.62,191,3,-1.846840866973813,-1.0808785251566713
